2715,2559,1375,Hello 
2803,2471,1282,Hello 
2714,2506,1333,Hello 
2727,2620,1409,Hello 
2699,2539,1403,Hello 
2708,2566,1392,Hello 
2709,2471,1303,Hello 
2708,2550,1373,Hello 
2833,2684,1469,Hello 
2831,2668,1469,Hello 
2771,2688,1500,Hello 
2732,2577,1467,Hello 
2738,2518,1393,Hello 
2733,2531,1409,Hello 
2725,2630,1469,Hello 
2763,2683,1541,Hello 
2806,2685,1513,Hello 
2747,2626,1448,Hello 
2831,2547,1381,Hello 
2863,2665,1479,Hello 
2733,2671,1434,Hello 
2708,2539,1383,Hello 
2782,2530,1424,Hello 
2825,2571,1470,Hello 
2822,2701,1561,Hello 
2847,2625,1463,Hello 
2743,2666,1525,Hello 
2806,2532,1419,Hello 
2838,2594,1424,Hello 
2741,2539,1370,Hello 
2825,2573,1411,Hello 
2705,2562,1432,Hello 
2704,2595,1463,Hello 
2717,2579,1448,Hello 
2814,2564,1441,Hello 
2755,2551,1426,Hello 
2875,2717,1557,Hello 
2801,2723,1572,Hello 
2777,2719,1586,Hello 
2773,2711,1569,Hello 
2759,2659,1541,Hello 
2739,2587,1497,Hello 
2837,2757,1601,Hello 
2722,2688,1553,Hello 
2757,2554,1436,Hello 
2843,2637,1499,Hello 
2807,2580,1477,Hello 
2863,2657,1523,Hello 
2783,2713,1591,Hello 
2814,2735,1630,Hello 
2829,2623,1535,Hello 
2828,2634,1492,Hello 
2783,2581,1497,Hello 
2730,2619,1523,Hello 
2869,2737,1621,Hello 
2814,2583,1369,Hello 
2795,2729,1517,Hello 
2734,2645,1450,Hello 
2822,2594,1430,Hello 
2883,2659,1475,Hello 
2823,2592,1450,Hello 
2779,2753,1573,Hello 
2891,2707,1539,Hello 
2881,2657,1509,Hello 
2879,2727,1579,Hello 
2711,2605,1517,Hello 
2855,2629,1517,Hello 
2813,2579,1444,Hello 
2844,2663,1540,Hello 
2801,2610,1497,Hello 
2762,2669,1586,Hello 
2832,2599,1516,Hello 
2847,2761,1616,Hello 
2791,2574,1477,Hello 
2903,2689,1588,Hello 
2876,2735,1619,Hello 
2759,2592,1526,Hello 
2871,2708,1613,Hello 
2771,2730,1595,Hello 
2813,2751,1637,Hello 
2793,2723,1603,Hello 
2775,2751,1617,Hello 
2877,2629,1565,Hello 
3931,3485,2307,Hold 
4015,3596,2471,Hold 
3866,3451,2290,Hold 
3951,3491,2402,Hold 
3957,3625,2403,Hold 
3929,3601,2431,Hold 
3834,3587,2525,Hold 
3761,3486,2462,Hold 
